Starting Simulation...
num_nodes is set 160
channel.cc:sendUp - Calc highestAntennaZ_ and distCST_
highestAntennaZ_ = 1.5,  distCST_ = 250.0
1) 119 receive (0) a RREP MaxSQ=1002, REC=501 ; MOY=1002 accepted 
1) 8 receive (0) a RREP MaxSQ=6, REC=3 ; MOY=6 accepted 
1) 121 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
2) 1 receive (6) a RREP MaxSQ=12, REC=3 ; MOY=6 accepted 
3) 1 receive (3) a RREP MaxSQ=15, REC=1 ; MOY=5 accepted 
3) 119 receive (1002) a RREP MaxSQ=9007, REC=4001 ; MOY=3002 refused 
1) 76 receive (0) a RREP MaxSQ=9002, REC=4501 ; MOY=9002 accepted 
1) 138 receive (0) a RREP MaxSQ=6, REC=3 ; MOY=6 accepted 
1) 16 receive (0) a RREP MaxSQ=6, REC=3 ; MOY=6 accepted 
1) 14 receive (0) a RREP MaxSQ=6, REC=3 ; MOY=6 accepted 
2) 135 receive (3) a RREP MaxSQ=9, REC=3 ; MOY=4 accepted 
1) 106 receive (0) a RREP MaxSQ=6, REC=3 ; MOY=6 accepted 
4) 95 receive (4) a RREP MaxSQ=2014, REC=3 ; MOY=503 accepted 
1) 90 receive (0) a RREP MaxSQ=6, REC=3 ; MOY=6 accepted 
3) 139 receive (4) a RREP MaxSQ=2011, REC=3 ; MOY=670 accepted 
1) 78 receive (0) a RREP MaxSQ=6, REC=3 ; MOY=6 accepted 
2) 78 receive (0) a RREP MaxSQ=5008, REC=2501 ; MOY=2504 accepted 
1) 40 receive (0) a RREP MaxSQ=5002, REC=2501 ; MOY=5002 accepted 
1) 68 receive (0) a RREP MaxSQ=5002, REC=2501 ; MOY=5002 accepted 
1) 88 receive (0) a RREP MaxSQ=6, REC=3 ; MOY=6 accepted 
1) 12 receive (0) a RREP MaxSQ=5002, REC=2501 ; MOY=5002 accepted 
1) 37 receive (0) a RREP MaxSQ=6, REC=3 ; MOY=6 accepted 
1) 96 receive (0) a RREP MaxSQ=5002, REC=2501 ; MOY=5002 accepted 
2) 52 receive (0) a RREP MaxSQ=5005, REC=2501 ; MOY=2502 accepted 
2) 45 receive (0) a RREP MaxSQ=5005, REC=2501 ; MOY=2502 accepted 
1) 3 receive (4) a RREP MaxSQ=6, REC=3 ; MOY=6 accepted 
2) 4 receive (0) a RREP MaxSQ=5005, REC=2501 ; MOY=2502 accepted 
2) 76 receive (9002) a RREP MaxSQ=19004, REC=5001 ; MOY=9502 accepted 
2) 122 receive (0) a RREP MaxSQ=12, REC=4 ; MOY=6 accepted 
2) 19 receive (3) a RREP MaxSQ=11, REC=4 ; MOY=5 accepted 
1) 34 receive (0) a RREP MaxSQ=8, REC=4 ; MOY=8 accepted 
1) 59 receive (0) a RREP MaxSQ=8, REC=4 ; MOY=8 accepted 
2) 87 receive (3) a RREP MaxSQ=11, REC=4 ; MOY=5 accepted 
3) 129 receive (0) a RREP MaxSQ=2013, REC=4 ; MOY=671 accepted 
1) 142 receive (0) a RREP MaxSQ=8, REC=4 ; MOY=8 accepted 
2) 96 receive (0) a RREP MaxSQ=5010, REC=4 ; MOY=2505 accepted 
1) 145 receive (0) a RREP MaxSQ=8, REC=4 ; MOY=8 accepted 
2) 18 receive (4) a RREP MaxSQ=11, REC=4 ; MOY=5 accepted 
2) 40 receive (0) a RREP MaxSQ=5010, REC=4 ; MOY=2505 accepted 
3) 78 receive (7) a RREP MaxSQ=5016, REC=4 ; MOY=1672 accepted 
2) 88 receive (7) a RREP MaxSQ=14, REC=4 ; MOY=7 accepted 
1) 85 receive (0) a RREP MaxSQ=8, REC=4 ; MOY=8 accepted 
1) 3 receive (7) a RREP MaxSQ=8, REC=4 ; MOY=8 accepted 
2) 3 receive (0) a RREP MaxSQ=10010, REC=5001 ; MOY=5005 accepted 
1) 1 receive (3) a RREP MaxSQ=6, REC=3 ; MOY=6 accepted 
2) 1 receive (6) a RREP MaxSQ=14, REC=4 ; MOY=7 accepted 
3) 1 receive (8) a RREP MaxSQ=17, REC=1 ; MOY=5 accepted 
4) 1 receive (8) a RREP MaxSQ=20, REC=1 ; MOY=5 accepted 
5) 1 receive (8) a RREP MaxSQ=28, REC=4 ; MOY=5 accepted 
6) 1 receive (8) a RREP MaxSQ=34, REC=3 ; MOY=5 accepted 
3) 17 receive (0) a RREP MaxSQ=2013, REC=4 ; MOY=671 accepted 
7) 1 receive (8) a RREP MaxSQ=42, REC=4 ; MOY=6 accepted 
1) 62 receive (0) a RREP MaxSQ=6, REC=3 ; MOY=6 accepted 
2) 62 receive (6) a RREP MaxSQ=12, REC=3 ; MOY=6 accepted 
4) 17 receive (8) a RREP MaxSQ=2019, REC=3 ; MOY=504 accepted 
8) 1 receive (8) a RREP MaxSQ=48, REC=3 ; MOY=6 accepted 
1) 9 receive (0) a RREP MaxSQ=8, REC=4 ; MOY=8 accepted 
2) 8 receive (6) a RREP MaxSQ=14, REC=4 ; MOY=7 accepted 
1) 1 receive (7) a RREP MaxSQ=8, REC=4 ; MOY=8 accepted 
4) 78 receive (0) a RREP MaxSQ=16018, REC=5501 ; MOY=4004 refused 
1) 117 receive (0) a RREP MaxSQ=4, REC=2 ; MOY=4 accepted 
1) 7 receive (3) a RREP MaxSQ=4, REC=2 ; MOY=4 accepted 
1) 112 receive (0) a RREP MaxSQ=12002, REC=6001 ; MOY=12002 accepted 
2) 82 receive (0) a RREP MaxSQ=14004, REC=6001 ; MOY=7002 accepted 
1) 131 receive (0) a RREP MaxSQ=4, REC=2 ; MOY=4 accepted 
1) 108 receive (0) a RREP MaxSQ=4, REC=2 ; MOY=4 accepted 
2) 58 receive (3) a RREP MaxSQ=7, REC=2 ; MOY=3 accepted 
2) 34 receive (0) a RREP MaxSQ=12, REC=2 ; MOY=6 accepted 
2) 1 receive (0) a RREP MaxSQ=12, REC=2 ; MOY=6 accepted 
2) 108 receive (4) a RREP MaxSQ=8, REC=2 ; MOY=4 accepted 
1) 39 receive (0) a RREP MaxSQ=4, REC=2 ; MOY=4 accepted 
1) 33 receive (0) a RREP MaxSQ=4, REC=2 ; MOY=4 accepted 
1) 4 receive (4) a RREP MaxSQ=4, REC=2 ; MOY=4 accepted 
3) 19 receive (0) a RREP MaxSQ=22, REC=5 ; MOY=7 accepted 
2) 16 receive (0) a RREP MaxSQ=17, REC=5 ; MOY=8 accepted 
1) 78 receive (0) a RREP MaxSQ=13002, REC=6501 ; MOY=13002 accepted 
3) 40 receive (0) a RREP MaxSQ=18012, REC=6501 ; MOY=6004 refused 
1) 1 receive (9) a RREP MaxSQ=11, REC=5 ; MOY=11 accepted 
1) 84 receive (0) a RREP MaxSQ=13, REC=6 ; MOY=13 accepted 
1) 83 receive (0) a RREP MaxSQ=13, REC=6 ; MOY=13 accepted 
1) 1 receive (12) a RREP MaxSQ=13, REC=6 ; MOY=13 accepted 
1) 34 receive (8) a RREP MaxSQ=8, REC=4 ; MOY=8 accepted 
2) 9 receive (0) a RREP MaxSQ=16, REC=4 ; MOY=8 accepted 
3) 9 receive (8) a RREP MaxSQ=26, REC=5 ; MOY=8 accepted 
3) 135 receive (7) a RREP MaxSQ=17, REC=4 ; MOY=5 accepted 
2) 121 receive (4) a RREP MaxSQ=11, REC=4 ; MOY=5 accepted 
2) 34 receive (8) a RREP MaxSQ=16, REC=4 ; MOY=8 accepted 
4) 135 receive (8) a RREP MaxSQ=25, REC=4 ; MOY=6 accepted 
3) 121 receive (8) a RREP MaxSQ=19, REC=4 ; MOY=6 accepted 
2) 149 receive (4) a RREP MaxSQ=11, REC=4 ; MOY=5 accepted 
2) 12 receive (0) a RREP MaxSQ=5010, REC=4 ; MOY=2505 accepted 
3) 34 receive (8) a RREP MaxSQ=24, REC=4 ; MOY=8 accepted 
2) 144 receive (4) a RREP MaxSQ=11, REC=4 ; MOY=5 accepted 
5) 95 receive (7) a RREP MaxSQ=2022, REC=4 ; MOY=404 accepted 
5) 135 receive (8) a RREP MaxSQ=33, REC=4 ; MOY=6 accepted 
1) 66 receive (0) a RREP MaxSQ=14002, REC=7001 ; MOY=14002 accepted 
4) 121 receive (8) a RREP MaxSQ=27, REC=4 ; MOY=6 accepted 
3) 149 receive (0) a RREP MaxSQ=14013, REC=7001 ; MOY=4671 refused 
3) 144 receive (8) a RREP MaxSQ=19, REC=4 ; MOY=6 accepted 
2) 117 receive (4) a RREP MaxSQ=10, REC=3 ; MOY=5 accepted 
2) 131 receive (4) a RREP MaxSQ=10, REC=3 ; MOY=5 accepted 
1) 25 receive (0) a RREP MaxSQ=6, REC=3 ; MOY=6 accepted 
2) 138 receive (0) a RREP MaxSQ=12, REC=3 ; MOY=6 accepted 
1) 34 receive (4) a RREP MaxSQ=6, REC=3 ; MOY=6 accepted 
1) 35 receive (0) a RREP MaxSQ=6, REC=3 ; MOY=6 accepted 
2) 39 receive (5) a RREP MaxSQ=10, REC=3 ; MOY=5 accepted 
2) 33 receive (5) a RREP MaxSQ=10, REC=3 ; MOY=5 accepted 
1) 4 receive (5) a RREP MaxSQ=6, REC=3 ; MOY=6 accepted 
1) 34 receive (8) a RREP MaxSQ=8, REC=4 ; MOY=8 accepted 
2) 47 receive (4) a RREP MaxSQ=11, REC=4 ; MOY=5 accepted 
3) 47 receive (8) a RREP MaxSQ=19, REC=4 ; MOY=6 accepted 
4) 47 receive (8) a RREP MaxSQ=27, REC=4 ; MOY=6 accepted 
2) 34 receive (8) a RREP MaxSQ=16, REC=4 ; MOY=8 accepted 
2) 2 receive (0) a RREP MaxSQ=12, REC=4 ; MOY=6 accepted 
3) 34 receive (8) a RREP MaxSQ=24, REC=4 ; MOY=8 accepted 
3) 138 receive (7) a RREP MaxSQ=22, REC=5 ; MOY=7 accepted 
2) 74 receive (0) a RREP MaxSQ=13, REC=5 ; MOY=6 accepted 
4) 34 receive (8) a RREP MaxSQ=34, REC=5 ; MOY=8 accepted 
1) 50 receive (0) a RREP MaxSQ=8, REC=4 ; MOY=8 accepted 
3) 76 receive (10003) a RREP MaxSQ=35006, REC=8001 ; MOY=11668 accepted 
1) 73 receive (0) a RREP MaxSQ=8, REC=4 ; MOY=8 accepted 
4) 139 receive (7) a RREP MaxSQ=2019, REC=4 ; MOY=504 accepted 
2) 106 receive (7) a RREP MaxSQ=14, REC=4 ; MOY=7 accepted 
1) 102 receive (0) a RREP MaxSQ=16002, REC=8001 ; MOY=16002 accepted 
1) 100 receive (0) a RREP MaxSQ=8, REC=4 ; MOY=8 accepted 
2) 102 receive (0) a RREP MaxSQ=16010, REC=4 ; MOY=8005 accepted 
2) 66 receive (0) a RREP MaxSQ=14010, REC=4 ; MOY=7005 accepted 
3) 66 receive (8) a RREP MaxSQ=14013, REC=1 ; MOY=4671 accepted 
4) 66 receive (8) a RREP MaxSQ=14021, REC=4 ; MOY=3505 accepted 
2) 68 receive (0) a RREP MaxSQ=5010, REC=4 ; MOY=2505 accepted 
5) 66 receive (8) a RREP MaxSQ=14029, REC=4 ; MOY=2805 accepted 
1) 64 receive (0) a RREP MaxSQ=8, REC=4 ; MOY=8 accepted 
2) 112 receive (0) a RREP MaxSQ=12010, REC=4 ; MOY=6005 accepted 
3) 62 receive (7) a RREP MaxSQ=20, REC=4 ; MOY=6 accepted 
6) 66 receive (8) a RREP MaxSQ=14037, REC=4 ; MOY=2339 accepted 
3) 106 receive (8) a RREP MaxSQ=22, REC=4 ; MOY=7 accepted 
7) 66 receive (8) a RREP MaxSQ=14045, REC=4 ; MOY=2006 accepted 
5) 139 receive (8) a RREP MaxSQ=2027, REC=4 ; MOY=405 accepted 
1) 5 receive (0) a RREP MaxSQ=8, REC=4 ; MOY=8 accepted 
3) 117 receive (0) a RREP MaxSQ=18, REC=4 ; MOY=6 accepted 
3) 131 receive (0) a RREP MaxSQ=18, REC=4 ; MOY=6 accepted 
4) 76 receive (0) a RREP MaxSQ=35014, REC=4 ; MOY=8753 accepted 
3) 102 receive (8) a RREP MaxSQ=16018, REC=4 ; MOY=5339 accepted 
2) 5 receive (8) a RREP MaxSQ=16, REC=4 ; MOY=8 accepted 
4) 117 receive (8) a RREP MaxSQ=26, REC=4 ; MOY=6 accepted 
4) 131 receive (8) a RREP MaxSQ=26, REC=4 ; MOY=6 accepted 
2) 22 receive (0) a RREP MaxSQ=11, REC=4 ; MOY=5 accepted 
3) 22 receive (8) a RREP MaxSQ=19, REC=4 ; MOY=6 accepted 
3) 112 receive (12003) a RREP MaxSQ=29012, REC=8501 ; MOY=9670 accepted 
3) 82 receive (12003) a RREP MaxSQ=31006, REC=8501 ; MOY=10335 accepted 
3) 18 receive (0) a RREP MaxSQ=17013, REC=8501 ; MOY=5671 refused 
1) 29 receive (0) a RREP MaxSQ=8, REC=4 ; MOY=8 accepted 
5) 76 receive (0) a RREP MaxSQ=35022, REC=4 ; MOY=7004 accepted 
1) 69 receive (0) a RREP MaxSQ=8, REC=4 ; MOY=8 accepted 
1) 42 receive (0) a RREP MaxSQ=8, REC=4 ; MOY=8 accepted 
4) 82 receive (0) a RREP MaxSQ=31014, REC=4 ; MOY=7753 accepted 
1) 18 receive (0) a RREP MaxSQ=8, REC=4 ; MOY=8 accepted 
4) 106 receive (0) a RREP MaxSQ=30, REC=4 ; MOY=7 accepted 
2) 142 receive (0) a RREP MaxSQ=16, REC=4 ; MOY=8 accepted 
3) 45 receive (4) a RREP MaxSQ=5013, REC=4 ; MOY=1671 accepted 
1) 51 receive (0) a RREP MaxSQ=8, REC=4 ; MOY=8 accepted 
1) 4 receive (7) a RREP MaxSQ=8, REC=4 ; MOY=8 accepted 
3) 58 receive (0) a RREP MaxSQ=18, REC=5 ; MOY=6 accepted 
3) 74 receive (10) a RREP MaxSQ=24, REC=5 ; MOY=8 accepted 
5) 34 receive (10) a RREP MaxSQ=45, REC=5 ; MOY=9 accepted 
4) 58 receive (11) a RREP MaxSQ=26, REC=4 ; MOY=6 accepted 
5) 58 receive (11) a RREP MaxSQ=34, REC=4 ; MOY=6 accepted 
1) 32 receive (0) a RREP MaxSQ=10, REC=5 ; MOY=10 accepted 
1) 109 receive (0) a RREP MaxSQ=18002, REC=9001 ; MOY=18002 accepted 
5) 117 receive (6) a RREP MaxSQ=36, REC=5 ; MOY=7 accepted 
1) 149 receive (0) a RREP MaxSQ=18002, REC=9001 ; MOY=18002 accepted 
5) 131 receive (6) a RREP MaxSQ=36, REC=5 ; MOY=7 accepted 
3) 12 receive (5003) a RREP MaxSQ=23012, REC=9001 ; MOY=7670 refused 
2) 7 receive (5) a RREP MaxSQ=14, REC=5 ; MOY=7 accepted 
1) 36 receive (0) a RREP MaxSQ=10, REC=5 ; MOY=10 accepted 
4) 138 receive (6) a RREP MaxSQ=32, REC=5 ; MOY=8 accepted 
2) 109 receive (18002) a RREP MaxSQ=37004, REC=9501 ; MOY=18502 accepted 
4) 74 receive (4) a RREP MaxSQ=34, REC=5 ; MOY=8 accepted 
2) 35 receive (6) a RREP MaxSQ=16, REC=5 ; MOY=8 accepted 
1) 159 receive (0) a RREP MaxSQ=10, REC=5 ; MOY=10 accepted 
1) 123 receive (0) a RREP MaxSQ=11, REC=5 ; MOY=11 accepted 
6) 139 receive (0) a RREP MaxSQ=21029, REC=9501 ; MOY=3504 refused 
1) 141 receive (0) a RREP MaxSQ=10, REC=5 ; MOY=10 accepted 
2) 37 receive (0) a RREP MaxSQ=17, REC=5 ; MOY=8 accepted 
1) 4 receive (9) a RREP MaxSQ=10, REC=5 ; MOY=10 accepted 
2) 125 receive (0) a RREP MaxSQ=14, REC=5 ; MOY=7 accepted 
3) 109 receive (0) a RREP MaxSQ=37015, REC=5 ; MOY=12338 accepted 
1) 139 receive (0) a RREP MaxSQ=11, REC=5 ; MOY=11 accepted 
4) 144 receive (0) a RREP MaxSQ=30, REC=5 ; MOY=7 accepted 
6) 95 receive (0) a RREP MaxSQ=2033, REC=5 ; MOY=338 accepted 
6) 135 receive (0) a RREP MaxSQ=44, REC=5 ; MOY=7 accepted 
5) 121 receive (0) a RREP MaxSQ=38, REC=5 ; MOY=7 accepted 
5) 74 receive (10) a RREP MaxSQ=45, REC=5 ; MOY=9 accepted 
3) 35 receive (10) a RREP MaxSQ=27, REC=5 ; MOY=9 accepted 
2) 159 receive (10) a RREP MaxSQ=21, REC=5 ; MOY=10 accepted 
2) 141 receive (10) a RREP MaxSQ=21, REC=5 ; MOY=10 accepted 
2) 4 receive (10) a RREP MaxSQ=21, REC=5 ; MOY=10 accepted 
1) 101 receive (0) a RREP MaxSQ=13, REC=6 ; MOY=13 accepted 
1) 26 receive (0) a RREP MaxSQ=13, REC=6 ; MOY=13 accepted 
6) 117 receive (10) a RREP MaxSQ=49, REC=6 ; MOY=8 accepted 
6) 131 receive (10) a RREP MaxSQ=49, REC=6 ; MOY=8 accepted 
2) 25 receive (6) a RREP MaxSQ=19, REC=6 ; MOY=9 accepted 
1) 146 receive (0) a RREP MaxSQ=13, REC=6 ; MOY=13 accepted 
3) 132 receive (0) a RREP MaxSQ=23, REC=6 ; MOY=7 accepted 
2) 1 receive (5) a RREP MaxSQ=26, REC=6 ; MOY=13 accepted 
1) 10 receive (0) a RREP MaxSQ=13, REC=6 ; MOY=13 accepted 
3) 159 receive (12) a RREP MaxSQ=34, REC=6 ; MOY=11 accepted 
3) 39 receive (7) a RREP MaxSQ=23, REC=6 ; MOY=7 accepted 
1) 4 receive (12) a RREP MaxSQ=13, REC=6 ; MOY=13 accepted 
4) 112 receive (17003) a RREP MaxSQ=50014, REC=10501 ; MOY=12503 accepted 
5) 82 receive (17003) a RREP MaxSQ=52016, REC=10501 ; MOY=10403 refused 
2) 101 receive (13) a RREP MaxSQ=28, REC=7 ; MOY=14 accepted 
2) 26 receive (13) a RREP MaxSQ=28, REC=7 ; MOY=14 accepted 
7) 117 receive (13) a RREP MaxSQ=64, REC=7 ; MOY=9 accepted 
7) 131 receive (13) a RREP MaxSQ=64, REC=7 ; MOY=9 accepted 
3) 25 receive (13) a RREP MaxSQ=34, REC=7 ; MOY=11 accepted 
1) 55 receive (0) a RREP MaxSQ=15, REC=7 ; MOY=15 accepted 
2) 55 receive (0) a RREP MaxSQ=25, REC=5 ; MOY=12 accepted 
2) 36 receive (10) a RREP MaxSQ=25, REC=7 ; MOY=12 accepted 
5) 138 receive (10) a RREP MaxSQ=47, REC=7 ; MOY=9 accepted 
2) 42 receive (0) a RREP MaxSQ=22010, REC=11001 ; MOY=11005 accepted 
1) 82 receive (17003) a RREP MaxSQ=22002, REC=11001 ; MOY=22002 accepted 
7) 95 receive (0) a RREP MaxSQ=24035, REC=11001 ; MOY=3433 refused 
1) 71 receive (0) a RREP MaxSQ=15, REC=7 ; MOY=15 accepted 
2) 123 receive (11) a RREP MaxSQ=27, REC=8 ; MOY=13 accepted 
3) 37 receive (11) a RREP MaxSQ=33, REC=8 ; MOY=11 accepted 
2) 69 receive (8) a RREP MaxSQ=24, REC=8 ; MOY=12 accepted 
3) 42 receive (8) a RREP MaxSQ=22026, REC=8 ; MOY=7342 accepted 
6) 138 receive (15) a RREP MaxSQ=62, REC=7 ; MOY=10 accepted 
2) 82 receive (8) a RREP MaxSQ=22018, REC=8 ; MOY=11009 accepted 
1) 95 receive (11) a RREP MaxSQ=16, REC=8 ; MOY=16 accepted 
4) 129 receive (4) a RREP MaxSQ=2029, REC=8 ; MOY=507 accepted 
1) 115 receive (0) a RREP MaxSQ=16, REC=8 ; MOY=16 accepted 
4) 45 receive (9) a RREP MaxSQ=5029, REC=8 ; MOY=1257 accepted 
2) 51 receive (9) a RREP MaxSQ=24, REC=8 ; MOY=12 accepted 
1) 4 receive (14) a RREP MaxSQ=16, REC=8 ; MOY=16 accepted 
5) 47 receive (0) a RREP MaxSQ=42, REC=7 ; MOY=8 accepted 
5) 129 receive (16) a RREP MaxSQ=2044, REC=7 ; MOY=408 accepted 
8) 131 receive (9) a RREP MaxSQ=76, REC=6 ; MOY=9 accepted 
4) 22 receive (9) a RREP MaxSQ=31, REC=6 ; MOY=7 accepted 
6) 47 receive (9) a RREP MaxSQ=53, REC=5 ; MOY=8 accepted 
7) 47 receive (11) a RREP MaxSQ=64, REC=5 ; MOY=9 accepted 
1) 119 receive (4) a RREP MaxSQ=12, REC=6 ; MOY=12 accepted 
1) 152 receive (0) a RREP MaxSQ=12, REC=6 ; MOY=12 accepted 
1) 3 receive (9) a RREP MaxSQ=12, REC=6 ; MOY=12 accepted 
8) 47 receive (11) a RREP MaxSQ=75, REC=5 ; MOY=9 accepted 
5) 17 receive (9) a RREP MaxSQ=2030, REC=5 ; MOY=406 accepted 
1) 13 receive (0) a RREP MaxSQ=11, REC=5 ; MOY=11 accepted 
2) 149 receive (9) a RREP MaxSQ=18013, REC=5 ; MOY=9006 accepted 
1) 131 receive (12) a RREP MaxSQ=12, REC=6 ; MOY=12 accepted 
3) 36 receive (0) a RREP MaxSQ=38, REC=6 ; MOY=12 accepted 
2) 131 receive (12) a RREP MaxSQ=25, REC=6 ; MOY=12 accepted 
4) 102 receive (9) a RREP MaxSQ=16030, REC=6 ; MOY=4007 accepted 
4) 37 receive (0) a RREP MaxSQ=24035, REC=12001 ; MOY=6008 refused 
2) 152 receive (12) a RREP MaxSQ=20, REC=4 ; MOY=10 accepted 
3) 152 receive (0) a RREP MaxSQ=23022, REC=11501 ; MOY=7674 refused 
1) 152 receive (12) a RREP MaxSQ=8, REC=4 ; MOY=8 accepted 
5) 102 receive (12) a RREP MaxSQ=16042, REC=6 ; MOY=3208 accepted 
1) 72 receive (0) a RREP MaxSQ=12, REC=6 ; MOY=12 accepted 
3) 26 receive (0) a RREP MaxSQ=40, REC=6 ; MOY=13 accepted 
8) 117 receive (9) a RREP MaxSQ=76, REC=6 ; MOY=9 accepted 
3) 131 receive (13) a RREP MaxSQ=37, REC=6 ; MOY=12 accepted 
2) 152 receive (0) a RREP MaxSQ=25010, REC=12501 ; MOY=12505 accepted 
9) 117 receive (13) a RREP MaxSQ=89, REC=6 ; MOY=9 accepted 
1) 3 receive (10003) a RREP MaxSQ=25002, REC=12501 ; MOY=25002 accepted 
5) 22 receive (12) a RREP MaxSQ=44, REC=6 ; MOY=8 accepted 
2) 32 receive (0) a RREP MaxSQ=23, REC=6 ; MOY=11 accepted 
6) 76 receive (9) a RREP MaxSQ=35035, REC=6 ; MOY=5839 accepted 
1) 53 receive (0) a RREP MaxSQ=13, REC=6 ; MOY=13 accepted 
2) 3 receive (13) a RREP MaxSQ=25015, REC=6 ; MOY=12507 accepted 
3) 122 receive (9) a RREP MaxSQ=26, REC=7 ; MOY=8 accepted 
3) 108 receive (0) a RREP MaxSQ=22, REC=7 ; MOY=7 accepted 
6) 22 receive (13) a RREP MaxSQ=58, REC=7 ; MOY=9 accepted 
7) 76 receive (13) a RREP MaxSQ=35049, REC=7 ; MOY=5007 accepted 
2) 53 receive (13) a RREP MaxSQ=27, REC=7 ; MOY=13 accepted 
3) 3 receive (13) a RREP MaxSQ=25029, REC=7 ; MOY=8343 accepted 
3) 152 receive (25002) a RREP MaxSQ=51012, REC=13001 ; MOY=17004 accepted 
6) 58 receive (11) a RREP MaxSQ=50, REC=8 ; MOY=8 accepted 
1) 3 receive (25002) a RREP MaxSQ=26002, REC=13001 ; MOY=26002 accepted 
2) 13 receive (11) a RREP MaxSQ=27, REC=8 ; MOY=13 accepted 
2) 90 receive (7) a RREP MaxSQ=22, REC=8 ; MOY=11 accepted 
2) 139 receive (9) a RREP MaxSQ=27, REC=8 ; MOY=13 accepted 
2) 78 receive (9) a RREP MaxSQ=13018, REC=8 ; MOY=6509 accepted 
3) 88 receive (9) a RREP MaxSQ=30, REC=8 ; MOY=10 accepted 
4) 152 receive (13) a RREP MaxSQ=51028, REC=8 ; MOY=12757 accepted 
2) 3 receive (15) a RREP MaxSQ=26018, REC=8 ; MOY=13009 accepted 
1) 37 receive (16) a RREP MaxSQ=16, REC=8 ; MOY=16 accepted 
2) 29 receive (9) a RREP MaxSQ=25, REC=8 ; MOY=12 accepted 
3) 139 receive (12) a RREP MaxSQ=43, REC=8 ; MOY=14 accepted 
2) 37 receive (0) a RREP MaxSQ=27018, REC=13501 ; MOY=13509 accepted 
1) 79 receive (0) a RREP MaxSQ=16, REC=8 ; MOY=16 accepted 
